,PSRAID,COUNTRY,Trust0,Trust1,Arrogance0,Arrogance1,Compassion0,Compassion1,Gender,Age
836,103348,France,France,France,France,France,France,France,Female,30-49
837,103349,France,Ireland,Italy,Don't know,Romania,Spain,Spain,Female,50-64
838,103350,France,Germany,Greece,Italy,France,France,Germany,Female,50-64
839,103351,France,France,Italy,Germany,Belgium,Portugal,Great Britain/United Kingdom,Female,50-64
840,103352,France,Sweden,Great Britain/United Kingdom,Great Britain/United Kingdom,Portugal,France,Great Britain/United Kingdom,Male,50-64
841,103353,France,Germany,Italy,Spain,Great Britain/United Kingdom,Don't know,Don't know,Female,65+
842,103354,France,Finland,Romania,Italy,Finland,Greece,Great Britain/United Kingdom,Female,18-29
843,103355,France,Sweden,Italy,Italy,Spain,France,Greece,Male,30-49
844,103356,France,Germany,Don't know,Italy,Portugal,Spain,Romania,Male,65+
845,103357,France,Finland,Romania,France,Sweden,Don't know,Great Britain/United Kingdom,Female,50-64
846,103358,France,Germany,Romania,Great Britain/United Kingdom,France,France,Great Britain/United Kingdom,Male,65+
847,103359,France,Germany,Italy,France,Great Britain/United Kingdom,Belgium,Ireland,Female,50-64
848,103360,France,Germany,Greece,France,Great Britain/United Kingdom,France,Germany,Female,65+
849,103361,France,France,Germany,Great Britain/United Kingdom,France,Belgium,Germany,Female,30-49
850,103362,France,Germany,Great Britain/United Kingdom,France,Portugal,Belgium,Germany,Male,50-64
851,103363,France,Sweden,Italy,Great Britain/United Kingdom,Germany,Sweden,Greece,Female,50-64
852,103364,France,Germany,Spain,France,Portugal,Greece,Germany,Male,30-49
853,103365,France,Germany,Greece,Italy,Spain,Greece,Italy,Male,30-49
854,103366,France,Sweden,Greece,Great Britain/United Kingdom,France,France,Italy,Female,50-64
855,103367,France,Germany,Greece,France,Belgium,Poland,France,Male,65+
856,103368,France,France,Great Britain/United Kingdom,Great Britain/United Kingdom,Italy,France,Great Britain/United Kingdom,Male,65+
857,103369,France,Germany,Spain,Germany,Great Britain/United Kingdom,France,Don't know,Female,30-49
858,103370,France,France,Germany,Italy,Poland,Greece,Germany,Female,30-49
859,103371,France,Denmark,Italy,Germany,Spain,Sweden,Germany,Male,50-64
860,103372,France,France,Italy,Great Britain/United Kingdom,Spain,Belgium,Italy,Male,18-29
861,103373,France,Sweden,Bulgaria,France,Ireland,Greece,Austria,Male,50-64
862,103374,France,Sweden,Greece,Germany,Spain,France,Great Britain/United Kingdom,Female,18-29
863,103375,France,Ireland,None,Great Britain/United Kingdom,France,France,Spain,Male,65+
864,103376,France,Portugal,Germany,Germany,Sweden,Portugal,Germany,Male,30-49
865,103377,France,Germany,Great Britain/United Kingdom,Don't know,Don't know,Don't know,Great Britain/United Kingdom,Male,65+
866,103378,France,Sweden,Italy,France,Sweden,Belgium,Great Britain/United Kingdom,Male,65+
867,103379,France,Germany,Great Britain/United Kingdom,Great Britain/United Kingdom,Belgium,Spain,Austria,Male,50-64
868,103380,France,Germany,Italy,Greece,Germany,France,Don't know,Female,65+
869,103381,France,France,Greece,France,Germany,Belgium,Italy,Female,30-49
870,103382,France,Germany,Greece,France,Belgium,Denmark,Germany,Male,50-64
871,103383,France,Don't know,France,France,Don't know,Don't know,France,Female,18-29
872,103384,France,Denmark,Italy,Germany,Germany,Spain,Germany,Male,50-64
873,103385,France,Germany,Greece,France,Germany,Germany,France,Male,65+
874,103386,France,Germany,Don't know,None,Portugal,France,None,Female,30-49
875,103387,France,France,Greece,Germany,Italy,France,Don't know,Female,65+
876,103388,France,Germany,Germany,France,France,France,France,Female,30-49
877,103389,France,Germany,Greece,France,Germany,France,Great Britain/United Kingdom,Male,50-64
878,103390,France,Sweden,Romania,Great Britain/United Kingdom,Sweden,France,Great Britain/United Kingdom,Male,65+
879,103391,France,Sweden,Romania,Netherlands,Spain,Germany,Italy,Female,30-49
880,103392,France,Germany,Italy,Italy,France,France,Italy,Female,65+
881,103393,France,Germany,Greece,France,Italy,Sweden,Spain,Male,65+
882,103394,France,Germany,Greece,Great Britain/United Kingdom,Belgium,Netherlands,Spain,Male,65+
883,103395,France,France,Great Britain/United Kingdom,Great Britain/United Kingdom,Belgium,Spain,Great Britain/United Kingdom,Male,30-49
884,103396,France,Germany,Greece,Italy,Denmark,Germany,France,Female,65+
885,103397,France,Greece,France,None,None,None,Don't know,Female,30-49
886,103398,France,France,Germany,Germany,France,France,Germany,Female,65+
887,103399,France,Great Britain/United Kingdom,Romania,Italy,Greece,Poland,Great Britain/United Kingdom,Female,18-29
888,103400,France,Germany,Poland,Portugal,France,France,Spain,Female,50-64
889,103401,France,Germany,France,France,Belgium,Don't know,Austria,Male,50-64
890,103402,France,France,Germany,Italy,Great Britain/United Kingdom,France,Great Britain/United Kingdom,Female,18-29
891,103403,France,Germany,Greece,Great Britain/United Kingdom,Spain,Spain,Great Britain/United Kingdom,Female,50-64
892,103404,France,None,Hungary,Great Britain/United Kingdom,Latvia,Don't know,Hungary,Female,50-64
893,103405,France,France,Italy,Poland,Great Britain/United Kingdom,France,Greece,Female,30-49
894,103406,France,Germany,Spain,France,Germany,Great Britain/United Kingdom,Germany,Female,50-64
895,103407,France,Denmark,Greece,Great Britain/United Kingdom,Spain,Sweden,Great Britain/United Kingdom,Male,65+
896,103408,France,None,Don't know,France,Italy,Great Britain/United Kingdom,Germany,Female,65+
897,103409,France,Sweden,Great Britain/United Kingdom,France,Belgium,Spain,Germany,Female,30-49
898,103410,France,France,Great Britain/United Kingdom,Germany,Sweden,Finland,Greece,Male,50-64
899,103411,France,Spain,Germany,Great Britain/United Kingdom,France,Spain,Germany,Female,50-64
900,103412,France,Sweden,Italy,France,Spain,Spain,Great Britain/United Kingdom,Female,18-29
901,103413,France,Germany,Bulgaria,Great Britain/United Kingdom,Italy,Germany,Bulgaria,Male,30-49
902,103414,France,France,Great Britain/United Kingdom,France,Ireland,Spain,Germany,Male,50-64
903,103415,France,Germany,Great Britain/United Kingdom,Great Britain/United Kingdom,Spain,Germany,France,Male,50-64
904,103416,France,Denmark,Greece,France,Italy,Portugal,France,Female,65+
905,103417,France,Germany,Great Britain/United Kingdom,Great Britain/United Kingdom,Netherlands,France,Germany,Male,18-29
906,103418,France,Belgium,Great Britain/United Kingdom,Great Britain/United Kingdom,Portugal,Italy,Great Britain/United Kingdom,Male,50-64
907,103419,France,Don't know,Germany,Great Britain/United Kingdom,Belgium,Bulgaria,Ireland,Male,65+
908,103420,France,Finland,None,Great Britain/United Kingdom,Finland,France,Great Britain/United Kingdom,Female,18-29
909,103421,France,Germany,Greece,Italy,Spain,Spain,Germany,Female,30-49
910,103422,France,Germany,Italy,France,Poland,Portugal,Greece,Female,30-49
911,103423,France,Germany,Don't know,France,Italy,Spain,Don't know,Female,30-49
912,103424,France,Sweden,Italy,Germany,Ireland,France,Germany,Female,65+
913,103425,France,Portugal,Great Britain/United Kingdom,Italy,Poland,Spain,Greece,Female,30-49
914,103426,France,Sweden,Greece,Great Britain/United Kingdom,Belgium,France,Great Britain/United Kingdom,Female,65+
915,103427,France,France,Great Britain/United Kingdom,Great Britain/United Kingdom,Sweden,France,Germany,Male,65+
916,103428,France,Germany,Greece,France,Italy,Italy,Germany,Male,65+
917,103429,France,Sweden,Estonia,Germany,Sweden,Sweden,Estonia,Female,50-64
918,103430,France,France,Refused,Refused,Germany,Refused,Refused,Female,65+
919,103431,France,France,Great Britain/United Kingdom,Great Britain/United Kingdom,France,France,Germany,Female,65+
920,103432,France,Netherlands,Great Britain/United Kingdom,Great Britain/United Kingdom,Luxembourg,Germany,Great Britain/United Kingdom,Male,50-64
921,103433,France,France,Greece,Great Britain/United Kingdom,France,Belgium,Great Britain/United Kingdom,Male,30-49
922,103434,France,Slovenia,Great Britain/United Kingdom,Germany,Portugal,Spain,Germany,Male,65+
923,103435,France,Germany,Great Britain/United Kingdom,Italy,Spain,France,Great Britain/United Kingdom,Male,65+
924,103436,France,Germany,Italy,France,Spain,Great Britain/United Kingdom,Germany,Female,50-64
925,103437,France,Germany,Greece,Great Britain/United Kingdom,Spain,Spain,Great Britain/United Kingdom,Female,50-64
926,103438,France,Germany,Italy,France,Spain,France,Germany,Male,65+
927,103439,France,France,Bulgaria,Great Britain/United Kingdom,Belgium,France,Germany,Female,65+
928,103440,France,Germany,Greece,France,Belgium,Italy,France,Female,65+
929,103441,France,France,Spain,Germany,Portugal,Italy,Greece,Female,30-49
930,103442,France,Germany,Greece,Italy,France,Great Britain/United Kingdom,Greece,Female,30-49
931,103443,France,Germany,Greece,Spain,France,Italy,Don't know,Female,50-64
932,103444,France,Great Britain/United Kingdom,France,France,Germany,France,Great Britain/United Kingdom,Female,30-49
933,103445,France,France,Great Britain/United Kingdom,Germany,France,France,Germany,Female,65+
934,103446,France,France,Don't know,Greece,France,France,Don't know,Male,50-64
935,103447,France,Germany,Greece,Germany,Belgium,None,Great Britain/United Kingdom,Female,30-49
936,103448,France,Denmark,Germany,Great Britain/United Kingdom,France,Greece,Germany,Female,50-64
937,103449,France,Germany,Greece,Great Britain/United Kingdom,Netherlands,France,Germany,Female,65+
938,103450,France,France,Greece,Great Britain/United Kingdom,France,Greece,Spain,Male,65+
939,103451,France,Greece,Italy,France,Italy,Italy,France,Female,65+
940,103452,France,Sweden,Bulgaria,Greece,Ireland,Denmark,Germany,Male,65+
941,103453,France,Germany,Greece,Great Britain/United Kingdom,Spain,Greece,Sweden,Male,50-64
942,103454,France,Germany,Romania,Germany,Belgium,Italy,Greece,Female,65+
943,103455,France,Great Britain/United Kingdom,Germany,Don't know,Great Britain/United Kingdom,Great Britain/United Kingdom,Germany,Male,50-64
944,103456,France,Germany,Romania,Don't know,France,France,Romania,Female,65+
945,103457,France,Germany,None,Spain,France,Don't know,Don't know,Female,30-49
946,103458,France,Germany,France,France,Germany,Germany,Greece,Female,65+
947,103459,France,France,Italy,Great Britain/United Kingdom,Belgium,Spain,Italy,Female,50-64
948,103460,France,Sweden,Italy,France,Sweden,Sweden,Italy,Female,65+
949,103461,France,Germany,None,France,None,Don't know,Don't know,Male,30-49
950,103462,France,Germany,Greece,Italy,Sweden,Netherlands,Germany,Male,65+
951,103463,France,Portugal,Italy,France,Spain,France,Italy,Female,30-49
952,103464,France,Sweden,Great Britain/United Kingdom,Great Britain/United Kingdom,Spain,France,Great Britain/United Kingdom,Female,30-49
953,103465,France,Germany,Italy,Don't know,Don't know,Don't know,Don't know,Female,65+
954,103466,France,Germany,Don't know,France,Germany,Germany,France,Male,18-29
955,103467,France,Denmark,Greece,Spain,France,France,Netherlands,Female,50-64
956,103468,France,France,Great Britain/United Kingdom,Great Britain/United Kingdom,Belgium,France,Germany,Female,65+
957,103469,France,Great Britain/United Kingdom,Don't know,Great Britain/United Kingdom,France,France,Great Britain/United Kingdom,Female,65+
958,103470,France,France,Don't know,Don't know,Don't know,Don't know,Don't know,Female,50-64
959,103471,France,Germany,Greece,France,Belgium,France,Great Britain/United Kingdom,Female,65+
960,103472,France,Denmark,Romania,Germany,Denmark,France,Romania,Male,65+
961,103473,France,Germany,Greece,None,France,Spain,None,Female,65+
962,103474,France,Denmark,Romania,Don't know,Spain,Germany,Greece,Female,50-64
963,103475,France,Sweden,Hungary,Great Britain/United Kingdom,Czech Republic,France,Don't know,Male,50-64
964,103476,France,France,Don't know,Italy,France,France,Germany,Female,18-29
965,103477,France,Sweden,Romania,France,Portugal,Finland,Germany,Male,50-64
966,103478,France,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,65+
967,103479,France,France,Italy,Italy,Estonia,France,Italy,Female,65+
968,103480,France,France,Germany,Germany,France,Germany,Italy,Female,65+
969,103481,France,Germany,Greece,France,Sweden,Netherlands,Germany,Female,50-64
970,103482,France,Sweden,Italy,France,Greece,France,Germany,Female,50-64
971,103483,France,Sweden,Italy,Great Britain/United Kingdom,Germany,France,Great Britain/United Kingdom,Female,65+
972,103484,France,Great Britain/United Kingdom,Romania,Italy,Sweden,Great Britain/United Kingdom,Spain,Male,65+
973,103485,France,Sweden,Romania,Germany,Greece,France,Italy,Male,30-49
974,103486,France,Portugal,Austria,Great Britain/United Kingdom,France,Italy,Germany,Male,65+
975,103487,France,Germany,Romania,Italy,Germany,Germany,France,Female,30-49
976,103488,France,Germany,Greece,Greece,Portugal,Portugal,France,Male,50-64
977,103489,France,Sweden,Greece,Germany,Belgium,Netherlands,Germany,Female,50-64
978,103490,France,Germany,Don't know,France,Italy,Italy,France,Female,65+
979,103491,France,Don't know,Italy,Don't know,France,Great Britain/United Kingdom,France,Female,65+
980,103492,France,Germany,Spain,Great Britain/United Kingdom,Belgium,Belgium,Greece,Male,30-49
981,103493,France,Denmark,Denmark,Great Britain/United Kingdom,France,Belgium,Germany,Male,50-64
982,103494,France,Belgium,Germany,Germany,Belgium,Belgium,Germany,Male,50-64
983,103495,France,Germany,Refused,Refused,Romania,Romania,None,Female,50-64
984,103496,France,Germany,Greece,Great Britain/United Kingdom,Spain,Italy,Great Britain/United Kingdom,Female,30-49
985,103497,France,Germany,Spain,Great Britain/United Kingdom,Don't know,Germany,Italy,Female,50-64
986,103498,France,Sweden,Italy,Great Britain/United Kingdom,Greece,Germany,Great Britain/United Kingdom,Male,50-64
987,103499,France,France,Greece,Germany,Spain,France,Great Britain/United Kingdom,Male,30-49
988,103500,France,France,Don't know,Don't know,France,Spain,Great Britain/United Kingdom,Female,18-29
989,103501,France,Finland,France,France,Spain,Spain,Italy,Female,30-49
990,103502,France,France,Germany,Germany,Spain,France,Great Britain/United Kingdom,Female,18-29
991,103503,France,Don't know,Italy,Don't know,France,France,Great Britain/United Kingdom,Female,65+
992,103504,France,Spain,Italy,Italy,Spain,Great Britain/United Kingdom,Germany,Female,18-29
993,103505,France,France,Italy,Italy,Spain,Germany,Great Britain/United Kingdom,Female,18-29
994,103506,France,Great Britain/United Kingdom,Portugal,France,Belgium,Belgium,Italy,Male,30-49
995,103507,France,Germany,Italy,Italy,Greece,Germany,Romania,Female,50-64
996,103508,France,Netherlands,Great Britain/United Kingdom,France,France,Belgium,Great Britain/United Kingdom,Male,30-49
997,103509,France,France,Great Britain/United Kingdom,France,Germany,France,Great Britain/United Kingdom,Female,50-64
998,103510,France,Sweden,Greece,Great Britain/United Kingdom,Denmark,Sweden,Germany,Male,65+
999,103511,France,Germany,Greece,France,Spain,Italy,Portugal,Female,30-49
1000,103512,France,France,Don't know,Spain,Portugal,France,Don't know,Female,50-64
1001,103513,France,Don't know,Don't know,Don't know,France,France,Great Britain/United Kingdom,Female,65+
1002,103514,France,France,Don't know,France,Don't know,France,Belgium,Female,30-49
1003,103515,France,Sweden,Greece,Germany,Spain,Sweden,Italy,Male,65+
1004,103516,France,Germany,Poland,Great Britain/United Kingdom,Netherlands,France,Great Britain/United Kingdom,Male,65+
1005,103517,France,None,Don't know,Don't know,None,Spain,Don't know,Female,50-64
1006,103518,France,Germany,Italy,France,Germany,France,Germany,Female,65+
1007,103519,France,None,Italy,Germany,Netherlands,Netherlands,Italy,Male,30-49
1008,103520,France,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Female,65+
1009,103521,France,Belgium,France,France,Portugal,Don't know,Italy,Female,50-64
1010,103522,France,France,Greece,Great Britain/United Kingdom,Bulgaria,France,Germany,Female,50-64
1011,103523,France,Spain,Romania,Great Britain/United Kingdom,Italy,Poland,Bulgaria,Female,65+
1012,103524,France,Don't know,Italy,Great Britain/United Kingdom,Don't know,Belgium,Great Britain/United Kingdom,Female,65+
1013,103525,France,Great Britain/United Kingdom,France,France,Great Britain/United Kingdom,Great Britain/United Kingdom,France,Female,30-49
1014,103526,France,Germany,Italy,Greece,Portugal,Italy,Germany,Female,50-64
1015,103527,France,Don't know,Don't know,Don't know,Spain,Italy,Portugal,Female,30-49
1016,103528,France,Germany,Italy,France,Sweden,Spain,Germany,Female,30-49
1017,103529,France,Sweden,Greece,Germany,Sweden,France,Great Britain/United Kingdom,Male,65+
1018,103530,France,Germany,Romania,Great Britain/United Kingdom,Spain,France,Great Britain/United Kingdom,Female,30-49
1019,103531,France,Great Britain/United Kingdom,France,Germany,Great Britain/United Kingdom,Luxembourg,Germany,Male,18-29
1020,103532,France,Italy,Greece,Germany,Don't know,France,Spain,Female,50-64
1021,103533,France,Denmark,Italy,Germany,Belgium,Belgium,Italy,Male,65+
1022,103534,France,Germany,Greece,Spain,Sweden,Germany,Great Britain/United Kingdom,Female,50-64
1023,103535,France,France,Italy,Germany,France,France,Germany,Female,30-49
1024,103536,France,Germany,Bulgaria,France,Sweden,Great Britain/United Kingdom,Germany,Male,50-64
1025,103537,France,France,Spain,France,Italy,France,Great Britain/United Kingdom,Female,30-49
1026,103538,France,Germany,France,France,Germany,France,Italy,Female,30-49
1027,103539,France,Germany,Great Britain/United Kingdom,Great Britain/United Kingdom,Portugal,Spain,Great Britain/United Kingdom,Male,50-64
1028,103540,France,Germany,France,France,Germany,Don't know,Don't know,Female,65+
1029,103541,France,Sweden,Spain,Great Britain/United Kingdom,Sweden,Don't know,Great Britain/United Kingdom,Male,50-64
1030,103542,France,Don't know,Germany,Greece,Germany,Don't know,Italy,Male,65+
1031,103543,France,Don't know,Romania,Don't know,Belgium,Belgium,Great Britain/United Kingdom,Female,65+
1032,103544,France,France,Spain,Great Britain/United Kingdom,France,France,Great Britain/United Kingdom,Female,30-49
1033,103545,France,Germany,Greece,Italy,Great Britain/United Kingdom,France,Germany,Female,65+
1034,103546,France,Germany,Greece,Spain,Italy,Don't know,Netherlands,Female,18-29
1035,103547,France,Great Britain/United Kingdom,Don't know,Germany,Greece,France,Germany,Female,30-49
1036,103548,France,Don't know,Germany,Don't know,Don't know,Don't know,Don't know,Female,65+
1037,103549,France,Germany,Greece,Great Britain/United Kingdom,Austria,Italy,Great Britain/United Kingdom,Male,30-49
1038,103550,France,Germany,Greece,France,Spain,Sweden,Italy,Male,30-49
1039,103551,France,France,Great Britain/United Kingdom,Austria,Sweden,France,Germany,Female,65+
1040,103552,France,Germany,Greece,Italy,Sweden,Don't know,Germany,Male,50-64
1041,103553,France,France,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
1042,103554,France,Germany,Greece,Italy,Sweden,Portugal,Luxembourg,Male,65+
1043,103555,France,France,Spain,Great Britain/United Kingdom,Germany,France,Italy,Female,30-49
1044,103556,France,Sweden,Greece,France,Sweden,Italy,Germany,Female,65+
1045,103557,France,Germany,Italy,Italy,Sweden,France,Germany,Female,65+
1046,103558,France,Germany,Greece,Italy,Spain,France,Italy,Male,30-49
1047,103559,France,Germany,Greece,Spain,France,Italy,France,Female,50-64
1048,103560,France,Denmark,Ireland,France,Netherlands,France,Belgium,Female,65+
1049,103561,France,Germany,Great Britain/United Kingdom,France,Italy,Spain,Greece,Female,65+
1050,103562,France,Don't know,Ireland,Don't know,France,France,Germany,Male,50-64
1051,103563,France,France,Greece,Great Britain/United Kingdom,France,Belgium,Greece,Male,65+
1052,103564,France,France,Italy,Germany,Great Britain/United Kingdom,Spain,Belgium,Male,50-64
1053,103565,France,France,Belgium,None,France,France,Spain,Male,65+
1054,103566,France,Germany,Great Britain/United Kingdom,Germany,Portugal,Germany,Greece,Male,65+
1055,103567,France,Sweden,Greece,Great Britain/United Kingdom,Germany,Austria,Great Britain/United Kingdom,Male,65+
1056,103568,France,Germany,Greece,Germany,Spain,Sweden,Italy,Male,50-64
1057,103569,France,Germany,Don't know,France,Sweden,Germany,Great Britain/United Kingdom,Male,30-49
1058,103570,France,Sweden,Greece,Italy,Portugal,Germany,Italy,Female,30-49
1059,103571,France,France,Lithuania,Italy,Belgium,Greece,Spain,Female,65+
1060,103572,France,Denmark,Greece,France,Belgium,Spain,Sweden,Male,30-49
1061,103573,France,Don't know,Great Britain/United Kingdom,Italy,France,Germany,Great Britain/United Kingdom,Male,50-64
1062,103574,France,Germany,Great Britain/United Kingdom,Great Britain/United Kingdom,Spain,Spain,Great Britain/United Kingdom,Male,30-49
1063,103575,France,France,Italy,Great Britain/United Kingdom,Spain,Germany,Sweden,Female,30-49
1064,103576,France,Germany,Italy,France,Spain,Great Britain/United Kingdom,Austria,Female,65+
1065,103577,France,France,Italy,France,Great Britain/United Kingdom,Belgium,Spain,Female,65+
1066,103578,France,Germany,Italy,Great Britain/United Kingdom,Denmark,Germany,Belgium,Male,65+
1067,103579,France,France,Greece,Great Britain/United Kingdom,Spain,Spain,France,Female,30-49
1068,103580,France,France,Italy,France,None,None,None,Male,65+
1069,103581,France,Sweden,Greece,Great Britain/United Kingdom,Sweden,France,Great Britain/United Kingdom,Female,30-49
1070,103582,France,Spain,France,France,Finland,Spain,Poland,Male,50-64
1071,103583,France,France,Germany,Germany,Italy,None,None,Female,65+
1072,103584,France,Sweden,Greece,France,Portugal,Great Britain/United Kingdom,Germany,Male,65+
1073,103585,France,Austria,Poland,Great Britain/United Kingdom,Germany,France,Italy,Female,30-49
1074,103586,France,Germany,Italy,France,Germany,Spain,None,Female,65+
1075,103587,France,Portugal,Romania,Germany,Portugal,France,Great Britain/United Kingdom,Male,65+
1076,103588,France,Germany,Greece,Germany,Portugal,Germany,Italy,Female,50-64
1077,103589,France,France,Italy,Great Britain/United Kingdom,Spain,Belgium,Germany,Male,50-64
1078,103590,France,Germany,Greece,France,Belgium,Germany,Greece,Male,30-49
1079,103591,France,Germany,Italy,Great Britain/United Kingdom,Spain,France,Italy,Male,30-49
1080,103592,France,France,Great Britain/United Kingdom,Great Britain/United Kingdom,Spain,France,Germany,Male,65+
1081,103593,France,Sweden,Italy,Germany,Netherlands,Sweden,Germany,Male,65+
1082,103594,France,Germany,Italy,Italy,Spain,France,Italy,Female,50-64
1083,103595,France,Denmark,Italy,France,Belgium,Spain,Great Britain/United Kingdom,Female,65+
1084,103596,France,Germany,Portugal,France,Great Britain/United Kingdom,Italy,Germany,Male,30-49
1085,103597,France,Germany,France,France,Poland,Portugal,France,Female,30-49
1086,103598,France,Germany,Greece,Don't know,Germany,Don't know,Greece,Male,65+
1087,103599,France,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,18-29
1088,103600,France,Germany,Romania,Italy,Germany,France,Romania,Female,50-64
1089,103601,France,Germany,Refused,Germany,Portugal,Refused,Germany,Male,65+
1090,103602,France,France,Great Britain/United Kingdom,Great Britain/United Kingdom,Germany,France,Great Britain/United Kingdom,Female,30-49
1091,103603,France,Germany,Great Britain/United Kingdom,France,Spain,France,Germany,Female,50-64
1092,103604,France,Germany,Romania,Poland,Germany,Great Britain/United Kingdom,Germany,Male,65+
1093,103605,France,Germany,Greece,Great Britain/United Kingdom,Italy,France,Germany,Male,65+
1094,103606,France,Germany,Italy,Great Britain/United Kingdom,Portugal,France,Romania,Female,65+
1095,103607,France,Don't know,Don't know,Great Britain/United Kingdom,Italy,Don't know,Germany,Female,65+
1096,103608,France,France,Italy,Portugal,Germany,Italy,Portugal,Female,18-29
1097,103609,France,Germany,Spain,Italy,France,France,Italy,Female,30-49
1098,103610,France,France,Great Britain/United Kingdom,France,Germany,Greece,France,Male,50-64
1099,103611,France,None,Greece,Don't know,Italy,France,Italy,Female,50-64
1100,103612,France,France,Greece,Great Britain/United Kingdom,France,France,Great Britain/United Kingdom,Female,50-64
1101,103613,France,Germany,Italy,Italy,Great Britain/United Kingdom,France,Germany,Male,30-49
1102,103614,France,Don't know,Denmark,Great Britain/United Kingdom,Germany,Germany,Great Britain/United Kingdom,Female,65+
1103,103615,France,France,Greece,Sweden,Italy,Spain,Germany,Female,65+
1104,103616,France,Germany,Great Britain/United Kingdom,Germany,France,France,Don't know,Female,65+
1105,103617,France,Ireland,Greece,Spain,Portugal,Germany,Belgium,Female,30-49
1106,103618,France,Denmark,Italy,Germany,Denmark,France,Germany,Male,30-49
1107,103619,France,France,Romania,Don't know,Don't know,Spain,Germany,Female,50-64
1108,103620,France,Italy,Germany,Great Britain/United Kingdom,Belgium,Belgium,Germany,Female,30-49
1109,103621,France,Sweden,Slovakia,Germany,Greece,Spain,Germany,Male,30-49
1110,103622,France,Germany,Great Britain/United Kingdom,Great Britain/United Kingdom,Germany,Germany,Great Britain/United Kingdom,Male,30-49
1111,103623,France,Sweden,Italy,Italy,Portugal,France,Germany,Female,50-64
1112,103624,France,Spain,Great Britain/United Kingdom,Germany,Portugal,Portugal,Germany,Male,50-64
1113,103625,France,Luxembourg,Great Britain/United Kingdom,Great Britain/United Kingdom,Greece,France,Germany,Male,50-64
1114,103626,France,Belgium,Italy,Great Britain/United Kingdom,Spain,Germany,Greece,Male,30-49
1115,103627,France,Denmark,Greece,Great Britain/United Kingdom,Italy,France,Germany,Female,65+
1116,103628,France,Germany,Spain,Germany,Netherlands,Netherlands,Portugal,Male,30-49
1117,103629,France,Germany,Greece,Great Britain/United Kingdom,Finland,France,Germany,Female,65+
1118,103630,France,Finland,Greece,Great Britain/United Kingdom,Italy,Belgium,Greece,Male,50-64
1119,103631,France,Germany,Don't know,Italy,Belgium,Don't know,France,Female,65+
1120,103632,France,Great Britain/United Kingdom,Italy,France,Germany,Spain,Germany,Female,65+
1121,103633,France,France,Hungary,Germany,Netherlands,France,Germany,Male,65+
1122,103634,France,France,Great Britain/United Kingdom,Austria,Ireland,Don't know,Don't know,Male,30-49
1123,103635,France,Sweden,Greece,Poland,Italy,Greece,France,Female,50-64
1124,103636,France,Sweden,Italy,Great Britain/United Kingdom,Romania,Denmark,France,Male,18-29
1125,103637,France,Denmark,Greece,France,Portugal,Germany,Spain,Female,30-49
1126,103638,France,Germany,Italy,Great Britain/United Kingdom,Belgium,Spain,Italy,Male,30-49
1127,103639,France,Germany,Poland,Romania,France,France,None,Male,65+
1128,103640,France,Germany,France,France,Spain,Belgium,Germany,Male,30-49
1129,103641,France,Denmark,Great Britain/United Kingdom,France,Sweden,France,Romania,Female,65+
1130,103642,France,Germany,Italy,France,Germany,Germany,France,Female,50-64
1131,103643,France,Sweden,Italy,Germany,Portugal,Italy,Luxembourg,Female,65+
1132,103644,France,Germany,Don't know,Great Britain/United Kingdom,Spain,France,Germany,Female,65+
1133,103645,France,Germany,Greece,Great Britain/United Kingdom,Belgium,Don't know,Germany,Male,65+
1134,103646,France,Germany,Greece,France,Germany,Spain,France,Male,30-49
1135,103647,France,Poland,Great Britain/United Kingdom,Great Britain/United Kingdom,Lithuania,Poland,Great Britain/United Kingdom,Male,65+
1136,103648,France,Germany,France,Italy,Sweden,Belgium,Spain,Male,65+
1137,103649,France,Belgium,Germany,Germany,Greece,Sweden,Great Britain/United Kingdom,Male,65+
1138,103650,France,Germany,Great Britain/United Kingdom,Italy,Sweden,Sweden,Great Britain/United Kingdom,Male,30-49
1139,103651,France,Sweden,Italy,France,Greece,Netherlands,Germany,Female,50-64
1140,103652,France,Germany,Spain,Italy,Belgium,France,Great Britain/United Kingdom,Male,30-49
1141,103653,France,France,Germany,Denmark,Sweden,Belgium,Finland,Male,50-64
1142,103654,France,Germany,Italy,Italy,Sweden,Germany,Great Britain/United Kingdom,Male,30-49
1143,103655,France,France,Italy,France,Belgium,Don't know,Luxembourg,Female,30-49
1144,103656,France,Germany,Italy,France,Belgium,Spain,France,Male,30-49
1145,103657,France,Belgium,Great Britain/United Kingdom,Germany,Spain,None,Germany,Male,65+
1146,103658,France,Sweden,Greece,Spain,France,France,Spain,Female,50-64
1147,103659,France,Germany,Greece,France,Germany,France,Italy,Male,65+
1148,103660,France,Germany,France,France,Germany,Germany,France,Female,50-64
1149,103661,France,Belgium,Germany,Germany,Belgium,Italy,Germany,Male,30-49
1150,103662,France,Germany,Italy,France,Germany,France,Great Britain/United Kingdom,Male,30-49
1151,103663,France,Germany,Greece,Germany,Portugal,France,Germany,Male,50-64
1152,103664,France,Don't know,Don't know,Don't know,Don't know,France,France,Female,30-49
