PSRAID,COUNTRY,Trust0,Trust1,Arrogance0,Arrogance1,Compassion0,Compassion1,Gender,Age
104158,France,Germany,Greece,Portugal,France,Belgium,Poland,Male,40
104159,France,Sweden,Great Britain/United Kingdom,Italy,Greece,Spain,Italy,Female,38
104160,France,Belgium,Italy,France,Netherlands,Spain,Germany,Male,31
104161,France,Germany,Italy,Italy,Sweden,Germany,Greece,Male,23
104162,France,Germany,Spain,France,Portugal,France,Great Britain/United Kingdom,Female,41
104163,France,Germany,Greece,Italy,Belgium,Germany,Italy,Male,26
104164,France,Germany,Don't know,Spain,Germany,Germany,Italy,Male,63
104165,France,France,Spain,Great Britain/United Kingdom,Germany,Don't know,Great Britain/United Kingdom,Female,69
104166,France,France,Slovenia,Don't know,France,Don't know,Don't know,Male,38
104167,France,Netherlands,Italy,France,Greece,Belgium,Germany,Female,60
104168,France,Don't know,France,France,Don't know,Don't know,France,Female,51
104169,France,Germany,Romania,France,Germany,Germany,Bulgaria,Male,62
104170,France,France,Romania,Germany,France,France,Germany,Female,66
104171,France,Germany,Italy,Germany,Spain,France,Germany,Female,83
104172,France,Germany,Germany,Spain,Germany,France,Great Britain/United Kingdom,Female,69
104173,France,Sweden,Spain,France,Don't know,France,Germany,Female,77
104174,France,Germany,Greece,France,Portugal,Denmark,France,Male,85
104175,France,France,Italy,Great Britain/United Kingdom,Spain,France,Great Britain/United Kingdom,Male,70
104176,France,Germany,Spain,Great Britain/United Kingdom,France,Germany,Belgium,Female,52
104177,France,Germany,Romania,France,Belgium,Don't know,Romania,Male,63
104178,France,Spain,Italy,Italy,Spain,Spain,Don't know,Female,57
104179,France,Italy,Romania,France,Belgium,Italy,Great Britain/United Kingdom,Female,65
104180,France,Sweden,Italy,Germany,Greece,Italy,Germany,Female,61
104181,France,Spain,Greece,Italy,Spain,Italy,Germany,Female,47
104182,France,Germany,Greece,Great Britain/United Kingdom,France,Don't know,Spain,Male,62
104183,France,Sweden,Great Britain/United Kingdom,Spain,Sweden,Belgium,Great Britain/United Kingdom,Male,69
104184,France,Don't know,Don't know,France,Italy,Spain,France,Female,73
104185,France,Denmark,Italy,Germany,Italy,France,Great Britain/United Kingdom,Male,37
104186,France,Germany,Spain,France,Great Britain/United Kingdom,Great Britain/United Kingdom,Germany,Female,24
104187,France,Germany,Portugal,Italy,Germany,Germany,Denmark,Female,38
104188,France,Germany,Netherlands,Romania,Sweden,Netherlands,Italy,Male,66
104189,France,Germany,Greece,France,Great Britain/United Kingdom,Finland,France,Female,54
104190,France,Netherlands,Greece,Germany,Portugal,France,Austria,Male,75
104191,France,Germany,Italy,France,Great Britain/United Kingdom,Sweden,Greece,Female,49
104192,France,Denmark,Greece,Great Britain/United Kingdom,Portugal,Spain,Germany,Male,87
104193,France,Germany,Great Britain/United Kingdom,Great Britain/United Kingdom,Germany,France,Great Britain/United Kingdom,Male,82
104194,France,France,Poland,Refused,Don't know,Don't know,Don't know,Female,63
104195,France,Germany,Refused,Refused,Refused,Refused,Refused,Female,37
104196,France,Germany,Italy,Great Britain/United Kingdom,Germany,France,Great Britain/United Kingdom,Female,40
104197,France,Denmark,Greece,Great Britain/United Kingdom,Portugal,France,Germany,Female,67
104198,France,Germany,Don't know,France,Don't know,France,Don't know,Female,78
104199,France,Belgium,Great Britain/United Kingdom,Great Britain/United Kingdom,Belgium,France,Germany,Male,63
104200,France,Italy,Great Britain/United Kingdom,Netherlands,Belgium,Italy,Germany,Female,71
104201,France,Germany,Latvia,Great Britain/United Kingdom,Poland,Don't know,Germany,Female,63
104202,France,Belgium,Spain,Germany,Sweden,France,Germany,Female,37
104203,France,France,Spain,Spain,Poland,France,Spain,Female,53
104204,France,Sweden,Romania,Great Britain/United Kingdom,Germany,Greece,Poland,Female,71
104205,France,Germany,Italy,France,Great Britain/United Kingdom,Germany,Portugal,Female,81
104206,France,Germany,Greece,Italy,Portugal,Germany,Spain,Female,58
104207,France,France,Greece,France,Spain,Italy,Germany,Male,41
104208,France,Greece,Germany,Germany,Portugal,Portugal,Germany,Female,33
104209,France,Germany,Italy,Don't know,Sweden,Netherlands,Germany,Female,75
104210,France,Germany,Italy,France,Netherlands,Spain,France,Female,87
104211,France,Don't know,Don't know,Spain,Germany,France,Portugal,Female,50
104212,France,Netherlands,Great Britain/United Kingdom,Austria,Denmark,France,Austria,Female,58
104213,France,Germany,France,France,Italy,Spain,Germany,Female,53
104214,France,France,Italy,Spain,Don't know,Germany,Don't know,Female,42
104215,France,Germany,Italy,Don't know,Spain,Sweden,Italy,Female,91
104216,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,68
104217,Germany,Sweden,Italy,Germany,Denmark,Don't know,Germany,Female,72
104218,Germany,Germany,Poland,Germany,Sweden,Refused,Refused,Male,66
104219,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,26
104220,Germany,Germany,Italy,Italy,Denmark,Germany,Greece,Female,73
104221,Germany,Germany,Greece,Don't know,Greece,Don't know,Don't know,Male,39
104222,Germany,Don't know,Don't know,Germany,Don't know,Don't know,Don't know,Male,22
104223,Germany,Germany,Italy,France,Estonia,Netherlands,Great Britain/United Kingdom,Male,48
104224,Germany,Denmark,Romania,France,Denmark,Spain,Italy,Female,50
104225,Germany,Germany,Greece,Great Britain/United Kingdom,Netherlands,Poland,Denmark,Male,43
104226,Germany,Germany,Greece,Don't know,Germany,Germany,Don't know,Male,72
104227,Germany,Germany,Italy,None,Sweden,None,Germany,Male,45
104228,Germany,Germany,Greece,Germany,Spain,Spain,Greece,Female,44
104229,Germany,Great Britain/United Kingdom,Bulgaria,France,Spain,Germany,Netherlands,Male,44
104230,Germany,Spain,France,France,Spain,Germany,Greece,Female,31
104231,Germany,Germany,Italy,France,Sweden,Germany,Poland,Female,66
104232,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Germany,Male,26
104233,Germany,Netherlands,Italy,Italy,Netherlands,Spain,Denmark,Male,54
104234,Germany,Don't know,Don't know,None,None,Don't know,Don't know,Female,42
104235,Germany,Refused,Refused,Refused,Refused,Refused,Refused,Male,42
104236,Germany,None,Don't know,Great Britain/United Kingdom,Italy,Germany,Don't know,Female,65
104237,Germany,France,Romania,Great Britain/United Kingdom,Spain,Don't know,Don't know,Male,80
104238,Germany,Spain,Romania,Italy,Bulgaria,Spain,France,Male,52
104239,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,89
104240,Germany,Sweden,Romania,Great Britain/United Kingdom,Denmark,Finland,Hungary,Male,52
104241,Germany,Italy,Spain,France,Denmark,Don't know,Great Britain/United Kingdom,Female,88
104242,Germany,Finland,Italy,Germany,Finland,Finland,Germany,Male,43
104243,Germany,France,Romania,Germany,Italy,Don't know,Don't know,Male,77
104244,Germany,Germany,Greece,Italy,Denmark,Poland,Italy,Female,49
104245,Germany,France,Greece,Germany,Don't know,Germany,Refused,Male,50
104246,Germany,France,Italy,Germany,Don't know,Italy,Germany,Male,24
104247,Germany,Luxembourg,Italy,Germany,Austria,Greece,Great Britain/United Kingdom,Male,75
104248,Germany,Denmark,Greece,Germany,Denmark,Don't know,Don't know,Female,50
104249,Germany,Sweden,Italy,France,Denmark,Don't know,Don't know,Male,50
104250,Germany,France,Don't know,Great Britain/United Kingdom,Sweden,Don't know,Great Britain/United Kingdom,Male,30
104251,Germany,Don't know,Bulgaria,Great Britain/United Kingdom,Spain,Spain,None,Female,37
104252,Germany,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Male,29
104253,Germany,Sweden,Bulgaria,Germany,Spain,Finland,Poland,Male,43
104254,Germany,Germany,Great Britain/United Kingdom,France,Denmark,Germany,Greece,Male,54
104255,Germany,Netherlands,Greece,Don't know,Don't know,Don't know,Don't know,Male,75
104256,Germany,Netherlands,Italy,Italy,Don't know,None,Italy,Female,68
104257,Germany,Germany,Italy,Italy,Sweden,Don't know,Don't know,Male,20
104258,Germany,Spain,France,France,Denmark,Denmark,Germany,Female,23
104259,Germany,Sweden,Romania,Great Britain/United Kingdom,Sweden,Don't know,Germany,Female,42
104260,Germany,Germany,Greece,Germany,Greece,Italy,Germany,Male,47
104261,Germany,Refused,Romania,France,Sweden,Denmark,Refused,Female,44
104262,Germany,Germany,Greece,Italy,Poland,Portugal,Great Britain/United Kingdom,Male,60
104263,Germany,Germany,Bulgaria,Italy,Lithuania,Germany,Don't know,Male,73
104264,Germany,Germany,Greece,Don't know,Don't know,Germany,Don't know,Female,34
104265,Germany,Germany,Italy,Refused,Refused,Refused,Refused,Female,50
104266,Germany,Denmark,Romania,Great Britain/United Kingdom,Italy,Sweden,Great Britain/United Kingdom,Male,77
104267,Germany,Germany,Greece,Refused,Refused,Luxembourg,Bulgaria,Female,68
104268,Germany,Denmark,Italy,France,Poland,Sweden,Great Britain/United Kingdom,Female,37
104269,Germany,Don't know,Don't know,Germany,Ireland,Italy,Sweden,Male,66
104270,Germany,Spain,Italy,France,Denmark,Denmark,France,Female,43
104271,Germany,Don't know,Don't know,Italy,Germany,Don't know,Great Britain/United Kingdom,Female,26
104272,Germany,Netherlands,Greece,Don't know,Denmark,France,Great Britain/United Kingdom,Male,45
104273,Germany,France,Great Britain/United Kingdom,Don't know,Don't know,Poland,Don't know,Male,69
104274,Germany,Germany,Greece,Great Britain/United Kingdom,Germany,Don't know,Great Britain/United Kingdom,Male,54
104275,Germany,France,Great Britain/United Kingdom,Spain,Netherlands,Germany,None,Male,29
104276,Germany,Refused,Greece,Greece,Finland,Portugal,France,Female,53
104277,Germany,Germany,Italy,France,Spain,France,Italy,Female,43
104278,Germany,Sweden,Romania,France,Ireland,Don't know,Don't know,Female,56
104279,Germany,Great Britain/United Kingdom,Italy,Spain,Ireland,Greece,Poland,Female,52
104280,Germany,France,Don't know,Germany,Spain,Italy,Germany,Male,62
104281,Germany,Spain,Greece,France,Germany,Germany,Greece,Male,35
104282,Germany,Germany,Portugal,France,Belgium,France,Great Britain/United Kingdom,Male,54
104283,Germany,Denmark,Italy,Great Britain/United Kingdom,Poland,France,Great Britain/United Kingdom,Female,81
104284,Germany,None,Refused,Don't know,Don't know,Don't know,Don't know,Male,65
104285,Germany,Netherlands,Romania,Germany,Netherlands,Denmark,Great Britain/United Kingdom,Female,69
104286,Germany,Germany,Don't know,Germany,Great Britain/United Kingdom,Italy,Germany,Female,64
104287,Germany,Sweden,Italy,Great Britain/United Kingdom,Spain,Italy,Germany,Male,40
104288,Germany,Germany,Greece,France,Spain,Germany,Don't know,Female,20
104289,Germany,Germany,Italy,France,Spain,Poland,France,Male,48
104290,Germany,Netherlands,Italy,Italy,Denmark,Don't know,Greece,Male,23
104291,Germany,Netherlands,Greece,France,Italy,Don't know,Great Britain/United Kingdom,Male,75
104292,Germany,Don't know,Italy,Great Britain/United Kingdom,Poland,Germany,Don't know,Female,69
104293,Germany,Refused,Refused,Refused,Refused,Refused,Refused,Female,47
104294,Germany,Denmark,Italy,France,Don't know,Don't know,Don't know,Female,43
104295,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,28
104296,Germany,Germany,Italy,France,Sweden,Denmark,Austria,Male,67
104297,Germany,Refused,Refused,Refused,Refused,Refused,Refused,Female,56
104298,Germany,Denmark,Italy,Great Britain/United Kingdom,Denmark,Don't know,Great Britain/United Kingdom,Male,67
104299,Germany,Germany,Italy,Italy,Don't know,Don't know,Greece,Male,65
104300,Germany,Great Britain/United Kingdom,Italy,France,Great Britain/United Kingdom,Great Britain/United Kingdom,Germany,Male,56
104301,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,44
104302,Germany,France,Italy,France,Portugal,Netherlands,Spain,Male,55
104303,Germany,Germany,Great Britain/United Kingdom,France,Italy,Germany,Great Britain/United Kingdom,Male,83
104304,Germany,France,Poland,Great Britain/United Kingdom,Belgium,Austria,Italy,Female,37
104305,Germany,Denmark,Greece,Don't know,Don't know,Germany,Don't know,Female,65
104306,Germany,France,Don't know,Don't know,Don't know,Don't know,Don't know,Male,65
104307,Germany,Germany,Don't know,Italy,Don't know,Don't know,Don't know,Male,78
104308,Germany,Refused,Refused,Refused,Refused,Italy,Germany,Female,58
104309,Germany,Germany,Italy,Don't know,Don't know,Spain,Italy,Female,60
104310,Germany,Germany,Romania,France,Germany,Germany,Greece,Female,66
104311,Germany,Don't know,Don't know,Don't know,Don't know,Germany,Don't know,Female,45
104312,Germany,Refused,Refused,Refused,Refused,Refused,Don't know,Male,70
104313,Germany,Poland,Italy,Great Britain/United Kingdom,Netherlands,Don't know,Great Britain/United Kingdom,Female,41
104314,Germany,Sweden,Romania,Italy,Sweden,Spain,Sweden,Male,29
104315,Germany,France,Romania,Great Britain/United Kingdom,Netherlands,Don't know,Don't know,Male,66
104316,Germany,France,Don't know,Italy,Netherlands,Don't know,Great Britain/United Kingdom,Male,49
104317,Germany,Germany,Don't know,Austria,Germany,Germany,Netherlands,Female,42
104318,Germany,Netherlands,Poland,France,Austria,Don't know,Great Britain/United Kingdom,Female,42
104319,Germany,Germany,Greece,France,Germany,Germany,France,Female,34
104320,Germany,France,Greece,Don't know,Don't know,Don't know,Don't know,Female,73
104321,Germany,Don't know,Don't know,Germany,Don't know,Don't know,Don't know,Female,87
104322,Germany,Germany,Spain,Don't know,Netherlands,Germany,Don't know,Male,68
104323,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,27
104324,Germany,Germany,Italy,France,Sweden,Austria,Italy,Male,31
104325,Germany,Netherlands,Don't know,Great Britain/United Kingdom,Netherlands,None,Don't know,Female,47
104326,Germany,Germany,Italy,France,Great Britain/United Kingdom,Don't know,France,Male,34
104327,Germany,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Male,28
104328,Germany,Germany,Don't know,Don't know,Don't know,None,None,Female,44
104329,Germany,Germany,Greece,France,Ireland,Don't know,Italy,Female,80
104330,Germany,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Male,50
104331,Germany,France,Romania,Italy,Netherlands,Netherlands,Italy,Male,52
104332,Germany,Austria,Greece,Germany,Portugal,Greece,Germany,Male,45
104333,Germany,Denmark,Great Britain/United Kingdom,Don't know,Sweden,Italy,Don't know,Male,66
104334,Germany,Denmark,Greece,France,Italy,Germany,Don't know,Female,43
104335,Germany,Spain,Germany,France,Spain,Spain,Germany,Female,43
104336,Germany,Greece,Germany,Germany,Netherlands,Greece,Germany,Female,39
104337,Germany,Sweden,Greece,France,Sweden,Germany,Great Britain/United Kingdom,Female,26
104338,Germany,Germany,Italy,Spain,Portugal,Hungary,Spain,Female,51
104339,Germany,Don't know,Don't know,France,Don't know,Netherlands,Don't know,Female,80
104340,Germany,Sweden,France,Don't know,Don't know,Don't know,Don't know,Female,50
104341,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,43
104342,Germany,Germany,Bulgaria,Italy,Belgium,Austria,France,Male,59
104343,Germany,Germany,Don't know,France,Italy,Germany,Spain,Female,27
104344,Germany,Sweden,Greece,Great Britain/United Kingdom,Portugal,Germany,Italy,Male,48
104345,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,45
104346,Germany,Germany,Don't know,Don't know,France,Italy,Don't know,Female,54
104347,Germany,Germany,Italy,Great Britain/United Kingdom,Sweden,Don't know,Romania,Male,77
104348,Germany,Germany,Greece,Greece,France,Germany,Greece,Female,67
104349,Germany,Sweden,Italy,France,Netherlands,Don't know,Great Britain/United Kingdom,Female,80
104350,Germany,Sweden,Italy,Italy,Sweden,Don't know,Don't know,Female,54
104351,Germany,None,Italy,Great Britain/United Kingdom,France,None,None,Male,69
104352,Germany,Sweden,Italy,Germany,Netherlands,Germany,Great Britain/United Kingdom,Male,51
104353,Germany,France,Greece,Great Britain/United Kingdom,Netherlands,Italy,Don't know,Female,53
104354,Germany,Finland,Italy,France,Italy,Don't know,Don't know,Female,34
104355,Germany,Germany,Greece,Spain,Hungary,Germany,Greece,Female,48
104356,Germany,France,Don't know,Don't know,Don't know,Don't know,Don't know,Female,66
104357,Germany,Germany,Greece,Italy,France,Germany,Greece,Female,40
104358,Germany,France,Romania,Greece,Denmark,Netherlands,Hungary,Male,67
104359,Germany,Netherlands,Poland,Germany,Luxembourg,Germany,Netherlands,Male,18
104360,Germany,Sweden,Greece,Great Britain/United Kingdom,Poland,Italy,Great Britain/United Kingdom,Male,29
104361,Germany,Netherlands,Italy,France,Netherlands,Netherlands,Great Britain/United Kingdom,Female,27
104362,Germany,Germany,Romania,France,Denmark,Germany,Great Britain/United Kingdom,Female,56
104363,Germany,France,Germany,Italy,Spain,Don't know,Don't know,Male,34
104364,Germany,Netherlands,Greece,Great Britain/United Kingdom,Germany,Germany,Great Britain/United Kingdom,Female,43
104365,Germany,France,Greece,Germany,Italy,Greece,Austria,Female,40
104366,Germany,Denmark,Hungary,Germany,Sweden,Germany,Great Britain/United Kingdom,Female,64
104367,Germany,Austria,Don't know,France,Netherlands,Don't know,Don't know,Male,43
104368,Germany,France,Great Britain/United Kingdom,Refused,Refused,Refused,Refused,Male,48
104369,Germany,Germany,Bulgaria,France,Netherlands,Netherlands,France,Female,45
104370,Germany,Denmark,Great Britain/United Kingdom,France,Netherlands,Denmark,Austria,Female,50
104371,Germany,Germany,Italy,Great Britain/United Kingdom,Sweden,Belgium,Czech Republic,Female,26
104372,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,35
104373,Germany,Finland,Refused,Great Britain/United Kingdom,Finland,Netherlands,Refused,Male,69
104374,Germany,Austria,Greece,France,Netherlands,Greece,France,Male,40
104375,Germany,Germany,Italy,Refused,Netherlands,Don't know,Don't know,Male,52
104376,Germany,France,Romania,Great Britain/United Kingdom,Germany,Germany,Austria,Male,57
104377,Germany,Germany,Greece,France,Italy,Italy,Germany,Female,36
104378,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,61
104379,Germany,None,None,Germany,None,Portugal,Don't know,Female,41
104380,Germany,Netherlands,Romania,Germany,Denmark,Netherlands,None,Male,45
104381,Germany,Germany,Greece,Germany,Spain,Don't know,Greece,Female,77
104382,Germany,Don't know,Don't know,Germany,Finland,Netherlands,Don't know,Male,60
104383,Germany,Austria,Poland,Great Britain/United Kingdom,Finland,Spain,Romania,Male,62
104384,Germany,Germany,Poland,France,Germany,Netherlands,France,Female,47
104385,Germany,Germany,Romania,France,Germany,Spain,Italy,Male,40
104386,Germany,Germany,Romania,Germany,Slovakia,Germany,Don't know,Male,84
104387,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,53
104388,Germany,Netherlands,Italy,France,Netherlands,Germany,Great Britain/United Kingdom,Female,49
104389,Germany,Germany,Romania,Great Britain/United Kingdom,Germany,Spain,Great Britain/United Kingdom,Male,51
104390,Germany,Germany,Portugal,Belgium,Germany,Denmark,France,Female,43
104391,Germany,Sweden,Italy,Italy,Sweden,Germany,Refused,Male,56
104392,Germany,Don't know,Don't know,Don't know,Don't know,Germany,Don't know,Female,52
104393,Germany,Netherlands,Romania,Great Britain/United Kingdom,Finland,Poland,Italy,Male,41
104394,Germany,Netherlands,Great Britain/United Kingdom,Italy,Netherlands,France,Great Britain/United Kingdom,Male,39
104395,Germany,Greece,Italy,Don't know,Greece,Don't know,Don't know,Male,78
104396,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,40
104397,Germany,Germany,Italy,France,Spain,Spain,Germany,Female,34
104398,Germany,Germany,Great Britain/United Kingdom,Italy,Spain,France,Great Britain/United Kingdom,Female,61
104399,Germany,Sweden,Romania,Great Britain/United Kingdom,Estonia,Denmark,France,Male,43
104400,Germany,Netherlands,Cyprus,Great Britain/United Kingdom,Luxembourg,France,Great Britain/United Kingdom,Female,78
104401,Germany,Finland,Greece,Germany,Denmark,Great Britain/United Kingdom,Germany,Male,75
104402,Germany,Finland,Italy,Great Britain/United Kingdom,Netherlands,Denmark,Germany,Male,43
104403,Germany,Denmark,Italy,France,Poland,Denmark,Great Britain/United Kingdom,Male,21
104404,Germany,Germany,Don't know,France,Spain,Spain,France,Male,37
104405,Germany,Netherlands,Poland,France,Netherlands,Denmark,Italy,Male,68
104406,Germany,Germany,Great Britain/United Kingdom,Greece,Belgium,Refused,Refused,Female,56
104407,Germany,Don't know,Italy,Great Britain/United Kingdom,Denmark,Don't know,Czech Republic,Male,76
104408,Germany,Denmark,Italy,Italy,Denmark,Refused,Refused,Male,70
104409,Germany,Germany,Don't know,Italy,Don't know,Germany,Don't know,Female,20
104410,Germany,Refused,Italy,Great Britain/United Kingdom,Denmark,Poland,Italy,Male,50
104411,Germany,France,Romania,Germany,Netherlands,Italy,Germany,Male,39
104412,Germany,Germany,Don't know,Italy,Netherlands,France,Germany,Male,46
104413,Germany,Germany,Italy,France,Netherlands,Netherlands,Italy,Female,47
104414,Germany,Great Britain/United Kingdom,None,Germany,None,None,None,Male,27
104415,Germany,Germany,Greece,Don't know,Germany,Germany,Don't know,Female,74
104416,Germany,France,Greece,Don't know,Don't know,Italy,Don't know,Female,46
104417,Germany,Don't know,Refused,Don't know,Don't know,Greece,Don't know,Male,42
104418,Germany,Germany,Italy,France,Poland,None,Don't know,Female,45
104419,Germany,Denmark,Don't know,Don't know,Denmark,Germany,Don't know,Female,64
104420,Germany,Netherlands,Italy,Italy,France,Austria,Poland,Male,65
104421,Germany,Latvia,Italy,Italy,Poland,Don't know,Great Britain/United Kingdom,Male,60
104422,Germany,France,Romania,Italy,France,Spain,Romania,Female,51
104423,Germany,Sweden,Italy,Spain,Denmark,Austria,Germany,Male,19
104424,Germany,Refused,Bulgaria,Italy,Sweden,Don't know,Don't know,Female,78
104425,Germany,Netherlands,Greece,France,Refused,Don't know,Don't know,Male,47
104426,Germany,Great Britain/United Kingdom,Don't know,Don't know,Sweden,Don't know,Don't know,Female,20
104427,Germany,Sweden,Greece,None,Netherlands,None,Great Britain/United Kingdom,Female,73
104428,Germany,Denmark,Germany,France,Denmark,Denmark,Poland,Female,51
104429,Germany,Sweden,Italy,France,Denmark,Don't know,Austria,Female,77
104430,Germany,Sweden,Romania,Germany,Netherlands,France,Germany,Male,55
104431,Germany,Germany,Don't know,France,Spain,Don't know,Don't know,Female,34
104432,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,40
104433,Germany,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30
104434,Germany,Denmark,Greece,France,Germany,Germany,Greece,Female,53
104435,Germany,Netherlands,Hungary,Great Britain/United Kingdom,Netherlands,Netherlands,Great Britain/United Kingdom,Male,79
104436,Germany,Germany,Romania,Great Britain/United Kingdom,Spain,Sweden,France,Male,58
104437,Germany,Germany,Italy,Great Britain/United Kingdom,Belgium,Austria,France,Female,64
104438,Germany,Austria,France,France,Sweden,Don't know,France,Male,67
104439,Germany,Germany,Italy,Germany,Spain,Spain,Germany,Female,34
104440,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,65
104441,Germany,Don't know,Cyprus,France,Ireland,Italy,Great Britain/United Kingdom,Female,42
104442,Germany,Sweden,Italy,Austria,Netherlands,Don't know,Don't know,Male,26
104443,Germany,Germany,Cyprus,Germany,Denmark,Germany,Greece,Male,61
104444,Germany,Sweden,Romania,France,Finland,Germany,Italy,Female,42
104445,Germany,Sweden,Italy,Italy,Denmark,Germany,Czech Republic,Female,65
104446,Germany,Finland,Don't know,France,Italy,Italy,France,Female,37
104447,Germany,Luxembourg,Italy,Don't know,Denmark,France,Refused,Male,78
104448,Germany,Germany,Greece,Great Britain/United Kingdom,France,Germany,Great Britain/United Kingdom,Male,48
104449,Germany,Germany,Sweden,Italy,France,Finland,Germany,Male,21
104450,Germany,Germany,Romania,Great Britain/United Kingdom,Germany,Germany,Great Britain/United Kingdom,Male,46
104451,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,40
104452,Germany,Don't know,Italy,Germany,Don't know,France,Germany,Male,31
104453,Germany,Sweden,Romania,Germany,Don't know,Italy,Denmark,Male,41
104454,Germany,Refused,Refused,Refused,Refused,Refused,Refused,Female,56
104455,Germany,Spain,France,Don't know,Don't know,Italy,France,Male,52
104456,Germany,Germany,Poland,France,Italy,Germany,France,Female,19
104457,Germany,Don't know,Refused,France,Don't know,Don't know,Don't know,Male,19
104458,Germany,Germany,Greece,Great Britain/United Kingdom,France,France,Great Britain/United Kingdom,Male,75
104459,Germany,Belgium,Portugal,Netherlands,Portugal,Poland,Portugal,Female,33
104460,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,68
104461,Germany,Netherlands,Cyprus,Great Britain/United Kingdom,France,Netherlands,Great Britain/United Kingdom,Male,58
104462,Germany,Germany,Sweden,Don't know,Germany,Don't know,Don't know,Female,36
104463,Germany,Don't know,Don't know,Refused,Refused,Refused,Refused,Female,62
104464,Germany,Germany,Cyprus,Germany,Sweden,Luxembourg,Great Britain/United Kingdom,Male,50
104465,Germany,Denmark,Romania,Don't know,Netherlands,Italy,Estonia,Female,90
104466,Germany,Germany,Great Britain/United Kingdom,Great Britain/United Kingdom,Netherlands,Don't know,Great Britain/United Kingdom,Male,43
104467,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,37
104468,Germany,Don't know,Don't know,Great Britain/United Kingdom,Germany,Don't know,Don't know,Male,76
104469,Germany,Netherlands,Romania,Great Britain/United Kingdom,Denmark,Germany,Great Britain/United Kingdom,Male,66
104470,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,35
104471,Germany,Don't know,Poland,Great Britain/United Kingdom,Denmark,Don't know,Don't know,Male,30
104472,Germany,Netherlands,Don't know,France,Netherlands,Italy,Don't know,Female,38
104473,Germany,Sweden,Greece,Austria,Italy,Spain,Denmark,Female,38
104474,Germany,Netherlands,Greece,Great Britain/United Kingdom,Netherlands,Spain,Great Britain/United Kingdom,Male,50
104475,Germany,Don't know,Don't know,Don't know,None,Italy,Refused,Female,54
104476,Germany,Don't know,Don't know,Italy,Germany,France,Don't know,Female,62
104477,Germany,Germany,Italy,Greece,Don't know,Don't know,Greece,Male,38
104478,Germany,Germany,Great Britain/United Kingdom,Great Britain/United Kingdom,Spain,Germany,Great Britain/United Kingdom,Male,27
104479,Germany,Germany,Italy,Germany,Greece,Germany,Spain,Male,34
104480,Germany,Germany,Italy,Germany,France,Austria,Germany,Male,47
104481,Germany,Don't know,Don't know,Don't know,France,Don't know,Don't know,Male,51
104482,Germany,Sweden,Greece,Germany,Spain,Refused,France,Male,70
104483,Germany,Luxembourg,Italy,France,Netherlands,Spain,Czech Republic,Male,33
104484,Germany,Netherlands,Don't know,Germany,Spain,Don't know,Germany,Male,57
104485,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,92
104486,Germany,None,Romania,France,Spain,Spain,Bulgaria,Female,45
104487,Germany,Luxembourg,None,Germany,Netherlands,Italy,Finland,Male,31
104488,Germany,Germany,Don't know,France,Sweden,Don't know,Don't know,Male,24
104489,Germany,France,Great Britain/United Kingdom,Greece,Don't know,Don't know,Don't know,Female,56
104490,Germany,Sweden,Portugal,Italy,Netherlands,Denmark,France,Male,25
104491,Germany,Germany,Poland,France,Denmark,Germany,Great Britain/United Kingdom,Female,44
104492,Germany,Don't know,Romania,France,Sweden,Italy,Germany,Male,55
104493,Germany,Sweden,Greece,Italy,Portugal,Don't know,Great Britain/United Kingdom,Male,65
104494,Germany,France,Greece,France,Italy,Don't know,Netherlands,Male,68
104495,Germany,Germany,Greece,Great Britain/United Kingdom,France,Germany,Great Britain/United Kingdom,Male,75
104496,Germany,Sweden,Refused,Great Britain/United Kingdom,France,Don't know,Germany,Male,84
104497,Germany,Germany,Don't know,France,Spain,Austria,Greece,Female,20
